id,name,name_cluster_coffee,name_cluster_contains_coffee,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,lowest_price_missing,highest_price,highest_price_missing
333048,"Cold Lobster Special - Choice of Oyster, Clam, Shrimp, Fruit Cocktail; Cup of Clam Chowder; Whole (1 lb.) Cold Lobster with Browned Butter, F. F. Potatoes, Creamed Cabbage, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333065,"HOT SEA FOOD PLATTER - Whole Broiled Lobster, Fried Shrimp, Deviled Crab, Cole Slaw, French Fried Potatoes, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333066,"FULL COURSE LOBSTER DINNER - Fresh Shrimp Cocktail or Clams on the Half Shell, WHOLE BROILED LIVE LOBSTER, Butter Sauce, French Fried Potatoes, Cole Slaw, Dessert, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333067,"SHORE DINNER - Half Broiled Lobster, Blue Fish, Crabmeat au Gratin, Barbecued Clams, French Fried Potatoes, Cole Slaw, Coffee",coffee with food,1,1,1,1941,1941,1.55,false,1.55,false
333068,"WHOLE BROILED LOBSTER, Butter Sauce, French Fried Potatoes, Cole Slaw, Coffee",coffee with food,1,1,1,1941,1941,1.3,false,1.3,false
333069,"LOBSTER A LA NEWBURG, Julienne Potatoes, Peas, Coffee",coffee with food,1,1,1,1941,1941,1.45,false,1.45,false
333070,"STEWED SNAPPER, Maryland, French Fried Potatoes, Peas, Coffee",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333071,"CRAB MEAT DEWEY, French Fried Potatoes, Peas, Coffee",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333072,"SLICED CHICKEN A LA KING en Casserole, French Fried Potatoes, Peas, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333073,"LONDON MIXED GRILLE Consisting of (1) Lamb Chop, Calf's Liver, Grilled Kidney, Fried Tomatoes, Bacon, Green Peas, French Fried Potatoes, Bread & Butter, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333074,"WIENER SCHNITZEL A AL HOLSTEIN, French Fried Potatoes, Creamed Spinach, Coffee",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333075,"SIZZLING SIRLOIN STEAK PLATTER with Broiled Mushrooms (Serving Piping Hot on the Utensil in Which it Has Been Cooked), Vegetable, Potatoes, Coffee",coffee with food,1,1,1,1941,1941,1.6,false,1.6,false
333076,"TENDERLOIN SIRLOIN STEAK PLATTER with Broiled Mushrooms (Serving Piping Hot on the Utensil in Which it Has Been Cooked), Vegetable, Potatoes, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333077,"BRIZZOLA STEAK, French Fried Potatoes, Green Peas, O'Brien Potatoes, Bread and Butter, Coffee",coffee with food,1,1,1,1941,1941,1.1,false,1.1,false
333089,"TURKEY CROQUETTE, Cream Sauce, Green Peas, French Fried Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333091,"SALISBURY STEAK, Horseradish Sauce, Lima Beans, French Fried Potato, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.85,false,0.85,false
333092,"HAM OMELETTE, Mixed Vegetables, Mashed Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333093,"FRIED FILET of SOLE, Tartar Sauce, Green Peas, French Fried Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.85,false,0.85,false
333094,"BROILED MACKEREL, Mixed Vegetables, Mashed Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.85,false,0.85,false
333095,"BRAISED SHORT RIBS of BEEF, Jardiniere, Lima Beans, Boiled Potatoe, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333096,"Deviled Crab - F.F. Potatoes, Cole Slaw, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.85,false,0.85,false
333097,"BAKED FRESH BONITA, Green Peas, French Fried Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333098,"FRESH KENNEBEC SALMON in Jelly, Sliced Tomato, Potato Salad, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333099,"CRAB CAKES, Norfolk Style, Cole Slaw, French Fried Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333100,"(2) BROILED PORK CHOPS, Sauer Kraut, Mashed Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333101,"SEA BASS, Split and Broiled, Green Peas, Parsley Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333102,"BROILED HALIBUT, English Style, Green Peas, Boiled Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333103,"CHOPPED SIRLOIN STEAK with Fried Onions, Mixed Vegetables, French Fried Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333104,"BREADED VEAL CUTLET, Tomato Sauce, Buttered Noodles, Peas, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333105,"BROILED JUMBO VEAL KIDNEY, Mashed Potatoes, Lima Beans, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333106,"FRIED CALF'S BRAINS, Tomato Sauce, String Beans, Mashed Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333107,"FRIED DEEP SEA SCALLOPS, Tartar Sauce, Lima Beans, Fr. Fr. Potatoes, Bread and Butter, Coffee or Tea and Dessert",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333185,"Steak Dinner - Grilled Hip-Steak, Garnished with Vegetables and Potatoes, Bread and Butter - Coffee, Tea or Milk",coffee with food,1,1,0,1941,1941,0.0,false,0.0,false
333186,"Steak Dinner - Grilled Hip-Steak, Garnished with Vegetables and Potatoes, Bread and Butter - Coffee, Tea or Milk, including Appetizer, Salad, Dessert",coffee with food,1,1,0,1941,1941,1.25,false,1.25,false
333187,"Sliced Flank Steak, Creamed Spinach, French Fried Potatoes, Raspberry Sherbet, Bread & Butter, Coffee or Tea",coffee with food,1,1,0,1941,1941,0.65,false,0.65,false
333188,"Turkey and Mushroom Patty, Corn Saute, Whipped Potatoes, Vanilla Pudding, Strawberry Sauce, Bread & Butter, Coffee or Tea",coffee ice cream,1,1,0,1941,1941,0.0,false,0.0,false
333189,"Fried Deep Sea Scallops, Tartar Sauce, Cole Slaw, Parsley Potato, Chocolate Ice Cream, Bread & Butter, Coffee or Tea",coffee with food,1,1,0,1941,1941,0.45,false,0.45,false
333193,"Whole Broiled Chicken Lobster, Butter Sauce, Garden String Beans, French Fried Potatoes, Lettuce and Tomato Salad, Choice of Dessert and Coffee",coffee with food,1,1,1,1941,1941,1.0,false,1.0,false
333194,"Two Broiled Spring Lamb Chops, Garden String Beans, French Fried Potatoes, Lettuce and Tomato Salad, Choice of Dessert and Coffee",coffee with food,1,1,1,1941,1941,0.85,false,0.85,false
333212,"Modenese Sand Cake with Ben & Jerry's Vanilla and Coffee Toffee Ice Cream, Chocolate Fudge Brownie Frozen Yogurt and Huckleberry Sauce",coffee ice cream,1,1,1,1994,1994,0.0,false,0.0,false
333319,"SALAD BOWL - Beef Salad Nicoise, Tomatoes, String Beans, Potatoes, Mustard Dressing, Bread and Butter, Coffee, Tea or Milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333352,"Plank Steak Dinner (cont.): Plank Sirloin Steak with Mushrooms and Fresh Garden Vegetables, Chef's Salad, Choice of Dessert, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333685,"Sizzling Hamburger Steak Platter - French Fried Onions, Baked Potato, Bread and Butter, Coffee, Tea or Milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333686,"Roast Beef Dinner - Roast Prime rib of Beef with choice of appetizer, soup, vegetable, potatoes, salad and dessert, bread and butter, coffee, tea or milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333727,"DEEP SEAFOOD PLATTER - LOBSTER AND CRABMEAT NEWBURG IN PATTY SHELL, New Green Peas, Mashed Potatoes, Rolls and Butter, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333728,"ROAST NATIVE DUCKLING BIGARADE, Orange Sauce, Creamed Spinach, Candied Sweet Potato, Rolls and Butter, Coffee",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333742,"Cassolette of Oysters, Poulette with Chives and Mushroom, Julienne Potatoes, Rolls, Butter, Tea, Coffee or Milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333743,"Scrambled Eggs on Toast with Grilled Kippered Herring, Potatoes, Dinner Salad, Rolls, Butter, Tea, Coffee or Milk",coffee with food,1,1,1,1941,1941,0.75,false,0.75,false
333744,"Escalloped Shrimps with Slices Hard Cooked Egg au Gratin, Green Salad, Rolls, Butter, Tea, Coffee or Milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333745,"Assorted Fresh Green Vegetable Plate Including Fried Filet of Sole, Rolls, Butter, Tea, Coffee or Milk",coffee with food,1,1,1,1941,1941,0.0,false,0.0,false
333996,"Coffee, Heavy Cream (per cup)",coffee,1,1,1,1941,1941,0.0,false,0.0,false
